<log file size>	<log cycle latency per block>
12	18.10
13	18.04
14	18.03
15	18.02
16	18.09
17	18.09
18	18.02
19	18.02
20	17.96
21	17.93
22	20.13
23	21.96
24	23.19
25	23.58
26	23.72
27	23.82
28	23.94
29	23.95
30	24.06
31	24.31
