<log file size>	<log cycle latency per block>
12	19.94
13	19.93
14	19.92
15	19.92
16	19.95
17	19.92
18	19.92
19	19.92
20	19.92
21	19.96
22	19.95
23	20.15
24	19.93
25	20.09
26	23.03
27	24.30
28	24.15
29	24.18
30	24.24
31	24.34
