<log file size>	<log cycle latency per block>
12	20.09
13	19.22
14	18.50
15	27.16
16	17.49
17	19.48
18	17.16
19	17.43
20	16.99
21	17.18
22	17.90
23	18.40
24	17.74
25	17.46
26	17.45
27	17.19
28	17.29
29	17.09
30	16.85
31	16.42
